                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2922,                  1.539,                0.84451,                0.38458,                0.31291,                0.31249,                0.18911,                 1.1055,                 1.1845,                0.80754,             0.00040598,             0.00040598,             0.00040598
                      2,                 1.2454,                0.72262,                0.82041,                0.69913,                0.45615,                0.50898,                0.28762,                 1.3004,                0.74477,                0.82496,             0.00081451,             0.00081451,             0.00081451
                      3,                 1.2634,                0.74185,                0.82079,                 0.3667,                0.57317,                0.40468,                0.21801,                   1.37,                 3.0535,                0.81504,              0.0012148,              0.0012148,              0.0012148
                      4,                 1.1795,                0.64788,                0.81534,                0.73058,                0.67003,                0.68809,                0.43087,                0.99112,                0.63363,                0.80182,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.3214,                0.67786,                0.82367,                0.86059,                0.54185,                0.62116,                  0.381,                 1.1614,                 0.6947,                0.81181,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.2634,                 0.6505,                 0.8197,                0.91981,                0.62982,                0.72022,                0.43056,                 1.0243,                0.54711,                0.80318,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.1224,                 0.5681,                0.80962,                0.78988,                0.64253,                0.70194,                0.43696,                0.97908,                0.53182,                0.79816,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.0787,                0.55941,                0.80455,                0.81327,                0.64437,                0.69188,                 0.4374,                0.96065,                0.55052,                0.79788,              0.0011634,              0.0011634,              0.0011634
                      9,                  1.071,                0.54324,                0.80206,                0.83012,                 0.7148,                0.75564,                0.47594,                0.96037,                0.51629,                0.80217,               0.001151,               0.001151,               0.001151
                     10,                   1.07,                 0.5332,                0.80314,                0.82263,                0.65092,                0.72161,                0.44383,                0.94827,                 0.5097,                0.79981,              0.0011386,              0.0011386,              0.0011386
                     11,                   1.04,                  0.522,                0.80092,                0.93121,                0.69389,                0.76997,                0.49488,                0.94372,                0.47226,                0.80027,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.0192,                0.49696,                0.79944,                0.77477,                0.71742,                0.73715,                0.48465,                0.91004,                0.46841,                0.79553,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.0001,                 0.4857,                0.79734,                0.74064,                0.66565,                0.72737,                0.44122,                0.95858,                0.51853,                0.80061,              0.0011015,              0.0011015,              0.0011015
                     14,                0.97275,                0.47758,                0.79706,                0.84947,                0.72084,                0.77111,                0.51326,                 0.8571,                0.46292,                0.79183,              0.0010891,              0.0010891,              0.0010891
                     15,                0.97786,                0.47818,                0.79531,                0.86309,                0.72439,                0.78268,                0.48701,                0.96769,                0.48766,                0.80113,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.0586,                0.50183,                0.79867,                0.82489,                0.70232,                0.75973,                0.47741,                 1.0215,                0.51277,                0.79943,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.0385,                0.49779,                0.79944,                0.86855,                0.66996,                0.76061,                 0.4747,                0.99432,                0.50997,                0.80303,               0.001052,               0.001052,               0.001052
                     18,                 1.0006,                0.47366,                0.79734,                0.87349,                0.74504,                0.79801,                0.49765,                0.85964,                0.44009,                0.79465,              0.0010396,              0.0010396,              0.0010396
                     19,                0.94265,                0.44687,                0.79305,                0.86941,                0.73324,                0.76875,                0.50448,                0.86769,                0.44133,                0.79137,              0.0010273,              0.0010273,              0.0010273
                     20,                0.92701,                 0.4451,                0.79168,                0.88535,                 0.7397,                0.80199,                0.52474,                0.82744,                 0.4267,                 0.7957,              0.0010149,              0.0010149,              0.0010149
